datetime64_ns,filename,datetime64_ns,lat,lon,predicted
2019-02-05 12:57:04.796798,label_2019_02_05_12_57_04_796798.png,2019-02-05 12:57:04.796798,47.598327952352854,-122.33206103579705,0.7600864
2019-02-05 12:57:04.834554,label_2019_02_05_12_57_04_834554.png,2019-02-05 12:57:04.834554,47.59832764161966,-122.33206271254812,0.71343154
2019-02-05 12:57:04.897069,label_2019_02_05_12_57_04_897069.png,2019-02-05 12:57:04.897069,47.59832712712167,-122.33206548883679,0.9094683
2019-02-05 12:57:04.950476,label_2019_02_05_12_57_04_950476.png,2019-02-05 12:57:04.950476,47.59832668758226,-122.33206786064059,0.9223594
2019-02-05 12:57:04.981726,label_2019_02_05_12_57_04_981726.png,2019-02-05 12:57:04.981726,47.59832643039542,-122.33206924844953,0.9155697
2019-02-05 12:57:05.082008,label_2019_02_05_12_57_05_082008.png,2019-02-05 12:57:05.082008,47.598326170929276,-122.3320728392533,0.9149903
2019-02-05 12:57:05.135405,label_2019_02_05_12_57_05_135405.png,2019-02-05 12:57:05.135405,47.598326099911276,-122.33207464887735,0.9381142
2019-02-05 12:57:05.166678,label_2019_02_05_12_57_05_166678.png,2019-02-05 12:57:05.166678,47.59832605831824,-122.33207570871797,0.91111
2019-02-05 12:57:05.197921,label_2019_02_05_12_57_05_197921.png,2019-02-05 12:57:05.197921,47.59832601676504,-122.33207676754351,0.9049416
2019-02-05 12:57:05.235692,label_2019_02_05_12_57_05_235692.png,2019-02-05 12:57:05.235692,47.5983259665296,-122.33207804760298,0.9245527
2019-02-05 12:57:05.266958,label_2019_02_05_12_57_05_266958.png,2019-02-05 12:57:05.266958,47.598325924945755,-122.33207910720934,0.9701146
2019-02-05 12:57:05.298203,label_2019_02_05_12_57_05_298203.png,2019-02-05 12:57:05.298203,47.59832588339017,-122.33208016609561,0.97535396
2019-02-05 12:57:05.351608,label_2019_02_05_12_57_05_351608.png,2019-02-05 12:57:05.351608,47.598325812361274,-122.3320819759973,0.97622913
2019-02-05 12:57:05.436243,label_2019_02_05_12_57_05_436243.png,2019-02-05 12:57:05.436243,47.59832569979689,-122.33208484427338,0.9360699
2019-02-05 12:57:05.467507,label_2019_02_05_12_57_05_467507.png,2019-02-05 12:57:05.467507,47.598325658215764,-122.33208590381034,0.97648174
2019-02-05 12:57:05.498755,label_2019_02_05_12_57_05_498755.png,2019-02-05 12:57:05.498755,47.59832561665576,-122.3320869628094,0.95828956
2019-02-05 12:57:05.536521,label_2019_02_05_12_57_05_536521.png,2019-02-05 12:57:05.536521,47.59832556642712,-122.33208824269533,0.9807928
2019-02-05 12:57:05.636808,label_2019_02_05_12_57_05_636808.png,2019-02-05 12:57:05.636808,47.598325433045446,-122.33209164142096,0.97545075
2019-02-05 12:57:05.668072,label_2019_02_05_12_57_05_668072.png,2019-02-05 12:57:05.668072,47.59832539146432,-122.33209270095792,0.9670106
2019-02-05 12:57:05.699320,label_2019_02_05_12_57_05_699320.png,2019-02-05 12:57:05.699320,47.598325349904314,-122.33209375995698,0.9582578
2019-02-05 12:57:05.752721,label_2019_02_05_12_57_05_752721.png,2019-02-05 12:57:05.752721,47.598325278881205,-122.33209556971117,0.969556
2019-02-05 12:57:05.783971,label_2019_02_05_12_57_05_783971.png,2019-02-05 12:57:05.783971,47.59832523731848,-122.33209662877964,0.982851
2019-02-05 12:57:05.868639,label_2019_02_05_12_57_05_868639.png,2019-02-05 12:57:05.868639,47.59832512471016,-122.3320994981749,0.978101
2019-02-05 12:57:05.899886,label_2019_02_05_12_57_05_899886.png,2019-02-05 12:57:05.899886,47.598325083151515,-122.33210055713926,0.9808204
2019-02-05 12:57:05.968915,label_2019_02_05_12_57_05_968915.png,2019-02-05 12:57:05.968915,47.59832499134313,-122.33210289652746,0.9636281
2019-02-05 12:57:06.000170,label_2019_02_05_12_57_06_000170.png,2019-02-05 12:57:06.000170,47.598324950358666,-122.3321039564781,0.98516256
2019-02-05 12:57:06.031413,label_2019_02_05_12_57_06_031413.png,2019-02-05 12:57:06.031413,47.598325016281414,-122.33210514714914,0.96480465
2019-02-05 12:57:06.053573,label_2019_02_05_12_57_06_053573.png,2019-02-05 12:57:06.053573,47.59832506303928,-122.33210599167161,0.9460604
2019-02-05 12:57:06.100450,label_2019_02_05_12_57_06_100450.png,2019-02-05 12:57:06.100450,47.5983251619496,-122.33210777815134,0.9683186
2019-02-05 12:57:06.204207,label_2019_02_05_12_57_06_204207.png,2019-02-05 12:57:06.204207,47.598325380876986,-122.33211173233273,0.95968866
2019-02-05 12:57:06.238471,label_2019_02_05_12_57_06_238471.png,2019-02-05 12:57:06.238471,47.59832545317362,-122.33211303812647,0.92694074
2019-02-05 12:57:06.269737,label_2019_02_05_12_57_06_269737.png,2019-02-05 12:57:06.269737,47.598325519144986,-122.33211422967555,0.95612645
2019-02-05 12:57:06.300987,label_2019_02_05_12_57_06_300987.png,2019-02-05 12:57:06.300987,47.598325585082314,-122.33211542061,0.96825135
2019-02-05 12:57:06.332239,label_2019_02_05_12_57_06_332239.png,2019-02-05 12:57:06.332239,47.59832565102451,-122.33211661163226,0.9502199
2019-02-05 12:57:06.354395,label_2019_02_05_12_57_06_354395.png,2019-02-05 12:57:06.354395,47.5983256977732,-122.33211745598888,0.86655223
2019-02-05 12:57:06.385651,label_2019_02_05_12_57_06_385651.png,2019-02-05 12:57:06.385651,47.598325763723494,-122.33211864715747,0.90996015
2019-02-05 12:57:06.432518,label_2019_02_05_12_57_06_432518.png,2019-02-05 12:57:06.432518,47.59832586261275,-122.3321204332567,0.9562726
2019-02-05 12:57:06.470300,label_2019_02_05_12_57_06_470300.png,2019-02-05 12:57:06.470300,47.5983259423328,-122.33212187312934,0.9777945
2019-02-05 12:57:06.501545,label_2019_02_05_12_57_06_501545.png,2019-02-05 12:57:06.501545,47.59832600825987,-122.33212306387843,0.9766333
2019-02-05 12:57:06.570577,label_2019_02_05_12_57_06_570577.png,2019-02-05 12:57:06.570577,47.59832615391725,-122.3321256946855,0.9836406
2019-02-05 12:57:06.601832,label_2019_02_05_12_57_06_601832.png,2019-02-05 12:57:06.601832,47.598326219865385,-122.33212688581509,0.9836406
2019-02-05 12:57:06.639598,label_2019_02_05_12_57_06_639598.png,2019-02-05 12:57:06.639598,47.59832629955195,-122.33212832508282,0.9704955
2019-02-05 12:57:06.702109,label_2019_02_05_12_57_06_702109.png,2019-02-05 12:57:06.702109,47.59832643144984,-122.33213070737125,0.91505665
2019-02-05 12:57:06.742000,label_2019_02_05_12_57_06_742000.png,2019-02-05 12:57:06.742000,47.59832651562027,-122.33213222762488,0.8670121
2019-02-05 12:57:06.772427,label_2019_02_05_12_57_06_772427.png,2019-02-05 12:57:06.772427,47.59832657982099,-122.33213338719327,0.96876144
2019-02-05 12:57:06.813127,label_2019_02_05_12_57_06_813127.png,2019-02-05 12:57:06.813127,47.59832666569778,-122.33213493826662,0.9647132
2019-02-05 12:57:06.888172,label_2019_02_05_12_57_06_888172.png,2019-02-05 12:57:06.888172,47.59832682404299,-122.33213779823613,0.97440493
2019-02-05 12:57:06.919419,label_2019_02_05_12_57_06_919419.png,2019-02-05 12:57:06.919419,47.59832688997384,-122.33213898905352,0.88188004
2019-02-05 12:57:06.957211,label_2019_02_05_12_57_06_957211.png,2019-02-05 12:57:06.957211,47.59832696971496,-122.33214042930663,0.941058
2019-02-05 12:57:06.988460,label_2019_02_05_12_57_06_988460.png,2019-02-05 12:57:06.988460,47.59832703565067,-122.33214162021181,0.9505257
2019-02-05 12:57:07.019709,label_2019_02_05_12_57_07_019709.png,2019-02-05 12:57:07.019709,47.59832700816552,-122.33214281623157,0.95711285
2019-02-05 12:57:07.057488,label_2019_02_05_12_57_07_057488.png,2019-02-05 12:57:07.057488,47.5983269088069,-122.33214426580965,0.9085482
2019-02-05 12:57:07.088737,label_2019_02_05_12_57_07_088737.png,2019-02-05 12:57:07.088737,47.59832682662163,-122.33214546483961,0.9326054
2019-02-05 12:57:07.119989,label_2019_02_05_12_57_07_119989.png,2019-02-05 12:57:07.119989,47.59832674442895,-122.33214666397762,0.67146
2019-02-05 12:57:07.173395,label_2019_02_05_12_57_07_173395.png,2019-02-05 12:57:07.173395,47.5983266039713,-122.332148713164,0.89700913
2019-02-05 12:57:07.204645,label_2019_02_05_12_57_07_204645.png,2019-02-05 12:57:07.204645,47.598326521783335,-122.33214991223325,0.9659005
2019-02-05 12:57:07.242415,label_2019_02_05_12_57_07_242415.png,2019-02-05 12:57:07.242415,47.59832642244828,-122.33215136146754,0.9708656
2019-02-05 12:57:07.273680,label_2019_02_05_12_57_07_273680.png,2019-02-05 12:57:07.273680,47.59832634022194,-122.33215256109668,0.87495166
2019-02-05 12:57:07.320554,label_2019_02_05_12_57_07_320554.png,2019-02-05 12:57:07.320554,47.59832621694302,-122.33215435965636,0.7538413
2019-02-05 12:57:07.358336,label_2019_02_05_12_57_07_358336.png,2019-02-05 12:57:07.358336,47.59832611757632,-122.33215580935232,0.9485304
2019-02-05 12:57:07.442969,label_2019_02_05_12_57_07_442969.png,2019-02-05 12:57:07.442969,47.5983258949913,-122.3321590567239,0.9472259
2019-02-05 12:57:07.489855,label_2019_02_05_12_57_07_489855.png,2019-02-05 12:57:07.489855,47.59832577168142,-122.33216085573542,0.9415004
2019-02-05 12:57:07.521111,label_2019_02_05_12_57_07_521111.png,2019-02-05 12:57:07.521111,47.59832568947797,-122.3321620550306,0.8778004
2019-02-05 12:57:07.558892,label_2019_02_05_12_57_07_558892.png,2019-02-05 12:57:07.558892,47.59832559011396,-122.33216350468726,0.87585837
2019-02-05 12:57:07.590137,label_2019_02_05_12_57_07_590137.png,2019-02-05 12:57:07.590137,47.59832550793946,-122.33216470356007,0.9577438
2019-02-05 12:57:07.621387,label_2019_02_05_12_57_07_621387.png,2019-02-05 12:57:07.621387,47.59832542575217,-122.3321659026195,0.97307265
2019-02-05 12:57:07.643525,label_2019_02_05_12_57_07_643525.png,2019-02-05 12:57:07.643525,47.598325367528936,-122.33216675205885,0.96663487
2019-02-05 12:57:07.743801,label_2019_02_05_12_57_07_743801.png,2019-02-05 12:57:07.743801,47.59832510380314,-122.33217059964774,0.79715526
2019-02-05 12:57:07.775066,label_2019_02_05_12_57_07_775066.png,2019-02-05 12:57:07.775066,47.59832502157612,-122.33217179928671,0.7722949
2019-02-05 12:57:07.806324,label_2019_02_05_12_57_07_806324.png,2019-02-05 12:57:07.806324,47.59832493936796,-122.33217299865065,0.92565525
2019-02-05 12:57:07.844093,label_2019_02_05_12_57_07_844093.png,2019-02-05 12:57:07.844093,47.598324840035595,-122.33217444784565,0.9519466
2019-02-05 12:57:07.944367,label_2019_02_05_12_57_07_944367.png,2019-02-05 12:57:07.944367,47.59832457631452,-122.33217829536578,0.93860894
2019-02-05 12:57:07.975633,label_2019_02_05_12_57_07_975633.png,2019-02-05 12:57:07.975633,47.59832449408548,-122.33217949503421,0.9170044
2019-02-05 12:57:08.006879,label_2019_02_05_12_57_08_006879.png,2019-02-05 12:57:08.006879,47.59832441913122,-122.33218070282018,0.9058888
2019-02-05 12:57:08.044648,label_2019_02_05_12_57_08_044648.png,2019-02-05 12:57:08.044648,47.59832435945626,-122.33218220073714,0.9031501
2019-02-05 12:57:08.091535,label_2019_02_05_12_57_08_091535.png,2019-02-05 12:57:08.091535,47.59832428537453,-122.33218406028222,0.98206204
2019-02-05 12:57:08.122782,label_2019_02_05_12_57_08_122782.png,2019-02-05 12:57:08.122782,47.598324236004515,-122.33218529953221,0.9163612
2019-02-05 12:57:08.160566,label_2019_02_05_12_57_08_160566.png,2019-02-05 12:57:08.160566,47.598324176305695,-122.33218679804818,0.9657367
2019-02-05 12:57:08.191820,label_2019_02_05_12_57_08_191820.png,2019-02-05 12:57:08.191820,47.598324126924346,-122.33218803758247,0.94677633
